DIA;MES;ART_2020;ART_2019;ART_2018;ART_2017;ART_2016;CHUVA_2020;CHUVA_2019;CHUVA_2018;CHUVA_2017;CHUVA_2016;HQUEIMA_2020;HQUEIMA_2019;HQUEIMA_2018;HQUEIMA_2017;HQUEIMA_2016
14;abril;13.058;;;;12.585;16.3;;;;0;;;;;
15;abril;12.912;;;;12.872;0.1;;;;0;;;;;
16;abril;12.985;;;;12.557;0;;;;0;;;;;
17;abril;13.31;;12.143;;12.556;0;;0.3;;0;;;;;
18;abril;13.531;;12.139;13.01;12.737;0;;0;0;0;;;;216:23:00;
19;abril;13.258;;12.432;13.437;12.717;0;;0;0.1;0;;;;259:58:00;77:00:00
20;abril;12.992;;12.408;13.47;13.138;0;;0;0;0;;;;279:47:00;92:07:00
21;abril;13.092;;12.65;13.368;13.146;0;;0;17.3;0;;;;;106:00:00
22;abril;13.369;;12.541;13.204;13.049;0;;0;0;0;;;;;
23;abril;13.298;12.698;12.726;13.399;13.11;0;0;0;0;0;;;;;95:48:00
24;abril;13.322;12.815;12.81;13.408;12.704;0;0;0;0;0;;;;;112:39:00
25;abril;13.476;12.632;12.933;13.607;13.011;0;0;0;0;0;;;;;
26;abril;13.994;12.604;13.156;13.572;13.206;0;0;0;11;0.2;;;;;50:23:00
27;abril;13.98;12.657;13.232;13.016;12.736;0;0;2.1;0;0.3;;;;;60:05:00
28;abril;13.972;12.623;12.817;13.358;12.688;0;0.3;0;0;3.3;;;;;65:09:00
29;abril;13.88;12.384;12.754;13.61;12.631;0;0;0;0;4.8;;;;;63:11:00
30;abril;13.72;12.529;13.25;13.468;12.324;0;0;0;0;0;;;;;100:59:00
1;maio;13.712;12.607;13.896;13.651;12.871;0;0;0;0;0;;;;;116:22:00
2;maio;13.687;12.55;13.792;13.522;13.107;0;0;0;0;0;;;;44:19:00;
3;maio;13.463;12.808;13.799;13.227;13.151;0;3;0;13.6;0;;;;56:20:00;
4;maio;13.522;12.689;13.587;13.509;13.002;0;4.7;0;0;0;;;;;66:08:00
5;maio;13.361;13.073;13.267;13.46;12.907;0;0;0;2.4;0;;;;;32:00:00
6;maio;13.298;12.812;13.396;13.314;13.009;;0;0;0;0;;10:54;;;46:11:00
7;maio;13.4;12.501;14.172;13.453;12.96;0;0;0;0;0;;17:36;;;57:24:00
